,Codi municipi,Habitants,Municipi,MUNICIPI_CODI,RECOMPTE,Taxa_vacunacio
467,25645962,192,MONTORNÈS DE SEGARRA,,,
468,8299026,16660,MONTORNÈS DEL VALLÈS,8933328.0,14586.0,87.55102040816325
469,8300658,702,MONTSENY,1602989.0,297.0,42.30769230769231
470,43957614,3745,"MORELL, EL",,,
471,43957920,318,"MORERA DE MONTSANT, LA",,,
472,8291580,1264,MUNTANYOLA,2097282.0,452.0,35.75949367088608
473,8302596,440,MURA,,,
474,43955778,5700,MÓRA D'EBRE,32707587.0,5573.0,97.7719298245614
475,43956288,3111,MÓRA LA NOVA,24175734.0,2939.0,94.47123111539698
476,25648818,180,NALEC,,,
477,25525908,3672,NAUT ARAN,9159150.0,1389.0,37.826797385620914
478,8303004,6063,NAVARCLES,6243380.0,5887.0,97.0971466270823
479,17453934,2854,NAVATA,6639068.0,1182.0,41.41555711282411
480,8304738,6024,NAVÀS,6122032.0,6112.0,101.46082337317397
481,25649124,568,NAVÈS,4299966.0,233.0,41.021126760563384
482,8305248,324,"NOU DE BERGUEDÀ, LA",,,
483,43959552,1200,"NOU DE GAIÀ, LA",,,
484,43960164,1018,NULLES,10214226.0,402.0,39.489194499017685
485,25651368,516,ODÈN,,,
486,17454444,480,OGASSA,,,
487,8309022,3680,OLESA DE BONESVALLS,4675804.0,1567.0,42.58152173913044
488,8310654,24168,OLESA DE MONTSERRAT,9458667.0,20663.0,85.49735187024164
489,25652694,3686,OLIANA,10311090.0,2413.0,65.4639175257732
490,25653000,406,OLIOLA,,,
491,25654734,1962,OLIUS,8727397.0,783.0,39.908256880733944
492,8311266,3938,OLIVELLA,5451012.0,2713.0,68.89283900457085
493,8312592,2404,OLOST,3006981.0,1151.0,47.87853577371048
494,17456586,35961,OLOT,17969700.0,31078.0,86.42140096215344
495,25655244,342,"OLUGES, LES",,,
496,8307390,1716,OLVAN,2321040.0,790.0,46.03729603729604
497,8308716,3771,OLÈRDOLA,5310540.0,3087.0,81.86157517899761
498,25656876,412,"OMELLONS, ELS",,,
499,25657386,260,"OMELLS DE NA GAIA, ELS",,,
500,17457912,722,ORDIS,3388770.0,322.0,44.59833795013851
501,25658712,1542,ORGANYÀ,6691230.0,858.0,55.6420233463035
502,8314632,1098,ORISTÀ,1964391.0,526.0,47.90528233151184
503,8315142,302,ORPÍ,,,
504,8313918,644,ORÍS,1271400.0,203.0,31.521739130434785
505,25660038,1960,OS DE BALAGUER,8351792.0,912.0,46.53061224489796
506,17459238,856,OSOR,3508780.0,351.0,41.00467289719626
507,25660650,406,OSSÓ DE SIÓ,,,
508,8317284,1836,PACS DEL PENEDÈS,2739744.0,758.0,41.28540305010893
509,8318610,9622,PALAFOLLS,6320125.0,8024.0,83.3922261484099
510,17459850,23267,PALAFRUGELL,15781874.0,19412.0,83.43146946318821
511,17460462,18153,PALAMÓS,16193628.0,17549.0,96.67272627113975
512,25661262,2168,"PALAU D'ANGLESOLA, EL",,,
513,17461788,180,PALAU DE SANTA EULÀLIA,,,
514,17463930,620,PALAU-SATOR,2739360.0,253.0,40.806451612903224
515,17463216,2912,PALAU-SAVERDERA,5992000.0,1133.0,38.907967032967036
