Codi	Municipi	BIG	QRA
82418	Sant Sadurní d'Osormort	22.437	5.451
80983	Sant Salvador de Guardiola	21.796	5.034
82628	Sant Vicenç de Castellet	19.538	4.530
82649	Sant Vicenç de Montalt	40.035	14.280
82652	Sant Vicenç de Torelló	22.538	6.240
82634	Sant Vicenç dels Horts	21.176	4.816
431384	Santa Bàrbara	14.719	3.833
82439	Santa Cecília de Voltregà	37.517	14.316
82444	Santa Coloma de Cervelló	26.774	6.631
171805	Santa Coloma de Farners	20.666	4.912
82457	Santa Coloma de Gramenet	17.908	3.914
431397	Santa Coloma de Queralt	18.345	4.520
171812	Santa Cristina d'Aro	23.043	6.358
82460	Santa Eugènia de Berga	18.578	4.063
82476	Santa Eulàlia de Riuprimer	22.072	5.611
82482	Santa Eulàlia de Ronçana	23.272	5.876
82495	Santa Fe del Penedès	24.535	6.421
171827	Santa Llogaia d'Àlguema	14.834	3.095
82508	Santa Margarida de Montbui	17.191	3.512
82515	Santa Margarida i els Monjos	20.554	4.265
82589	Santa Maria d'Oló	18.231	3.677
82536	Santa Maria de Besora	15.740	3.846
82567	Santa Maria de Martorelles	23.843	5.739
82554	Santa Maria de Merlès	19.206	4.629
82573	Santa Maria de Miralles	24.384	5.708
82592	Santa Maria de Palautordera	22.769	5.564
431401	Santa Oliva	17.859	3.752
171848	Santa Pau	21.891	6.720
82606	Santa Perpètua de Mogoda	22.606	5.298
82613	Santa Susanna	22.202	6.093
81923	Santpedor	24.396	5.864
431423	Sarral	18.347	4.327
171864	Sarrià de Ter	21.278	4.603
252017	Sarroca de Bellera	17.697	4.402
252000	Sarroca de Lleida	14.960	4.440
171870	Saus, Camallera i Llampaies	23.645	6.671
431439	Savallà del Comtat	20.914	4.880
431444	Secuita, la	24.186	5.856
171886	Selva de Mar, la	18.490	6.218
431457	Selva del Camp, la	21.437	5.388
431460	Senan	16.942	4.077
430445	Sénia, la	14.689	3.585
252022	Senterada	20.654	5.563
250352	Sentiu de Sió, la	18.584	4.480
82671	Sentmenat	22.242	5.144
171903	Serinyà	21.273	4.846
252043	Seròs	14.919	3.534
171910	Serra de Daró	19.821	4.633
171925	Setcases	17.588	3.940
252038	Seu d'Urgell, la	18.938	4.976
82690	Seva	24.364	7.103
252056	Sidamon	19.933	4.984
171931	Sils	20.150	4.730
82704	Sitges	35.816	13.280
170524	Siurana	22.547	5.197
82711	Sobremunt	17.833	3.928
252069	Soleràs, el	12.320	3.127
431476	Solivella	18.763	4.485
252075	Solsona	18.376	4.632
82726	Sora	17.920	3.917
252081	Soriguera	14.185	4.019
252094	Sort	17.371	4.360
252108	Soses	16.317	4.779
82732	Subirats	21.555	5.196
252115	Sudanell	19.562	4.693
252120	Sunyer	17.243	5.089
82747	Súria	23.517	5.632
171946	Susqueda	16.534	3.463
82763	Tagamanent	21.687	5.570
82779	Talamanca	23.959	6.030
252154	Talarn	21.212	5.571
252167	Talavera	18.913	7.260
171959	Tallada d'Empordà, la	23.809	10.602
82785	Taradell	23.209	5.873
431482	Tarragona	24.989	6.537
252173	Tàrrega	19.298	4.692
252189	Tarrés	19.144	4.448
252192	Tarroja de Segarra	15.913	3.283
82750	Tavèrnoles	27.467	8.726
82802	Tavertet	18.542	5.103
82819	Teià	34.389	11.414
252206	Térmens	17.504	4.344
171962	Terrades	19.859	5.006
82798	Terrassa	22.225	5.492
82824	Tiana	34.873	10.894
252213	Tírvia	14.175	3.843
252228	Tiurana	11.257	..
431495	Tivenys	14.434	3.555
431508	Tivissa	16.413	4.452
82830	Tona	22.784	5.855
252234	Torà	18.467	4.576
82845	Tordera	19.031	4.453
82858	Torelló	21.199	5.047
252249	Torms, els	13.880	3.532
252252	Tornabous	16.919	4.888
252271	Torre de Cabdella, la	16.460	10.027
82861	Torre de Claramunt, la	21.673	4.567
431515	Torre de Fontaubella, la	20.728	4.379
431520	Torre de l'Espanyol, la	14.444	5.257
252265	Torrebesses	12.028	2.975
431536	Torredembarra	20.870	5.580
252287	Torrefarrera	23.214	5.693
259078	Torrefeta i Florejacs	17.666	4.318
252304	Torregrossa	17.185	5.169
252311	Torrelameu	16.114	4.349
82877	Torrelavit	23.168	5.737
82883	Torrelles de Foix	18.122	4.298
82896	Torrelles de Llobregat	26.728	6.697
171978	Torrent	19.755	4.849
252326	Torres de Segre	15.003	4.367
252332	Torre-serona	21.803	5.594
171984	Torroella de Fluvià	21.241	6.140
171997	Torroella de Montgrí	19.089	5.061
431541	Torroja del Priorat	13.932	4.296
172001	Tortellà	20.691	4.958
431554	Tortosa	19.558	5.305
172018	Toses	19.971	5.859
172023	Tossa de Mar	18.633	5.126
252347	Tremp	19.191	4.739
172044	Ullà	18.862	5.019
82900	Ullastrell	25.377	6.142
172057	Ullastret	20.750	4.984
431567	Ulldecona	15.231	3.924
431573	Ulldemolins	13.116	3.499
172039	Ultramort	18.460	3.953
172060	Urús	21.555	7.931
82917	Vacarisses	23.759	5.548
170144	Vajol, la	31.507	11.415
172076	Vall d'en Bas, la	22.643	5.501
172082	Vall de Bianya, la	22.667	6.085
250432	Vall de Boí, la	18.424	4.682
259010	Vall de Cardós	15.628	4.635
82922	Vallbona d'Anoia	22.908	5.728
252385	Vallbona de les Monges	15.252	4.172
82938	Vallcebre	19.262	5.360
431589	Vallclara	19.518	6.185
252402	Vallfogona de Balaguer	19.821	4.607
171707	Vallfogona de Ripollès	16.805	4.571
431592	Vallfogona de Riucorb	18.458	4.919
82943	Vallgorguina	25.757	6.513
82956	Vallirana	23.698	5.838
172095	Vall-llobrega	22.206	6.038
431606	Vallmoll	21.896	5.731
82969	Vallromanes	35.162	11.256
431613	Valls	21.352	5.528
259062	Valls d'Aguilar, les	14.163	3.437
252398	Valls de Valira, les	17.069	4.738
431628	Vandellòs i l'Hospitalet de l'Infant	26.492	7.400
259097	Vansa i Fórnols, la	12.609	4.127
82975	Veciana	18.962	4.080
431634	Vendrell, el	20.142	5.102
172109	Ventalló	22.573	6.283
252424	Verdú	16.420	4.117
172116	Verges	20.385	5.134
431649	Vespella de Gaià	17.288	3.728
82981	Vic	22.291	6.253
172121	Vidrà	18.760	4.315
172137	Vidreres	20.306	4.708
252430	Vielha e Mijaran	19.802	4.897
431652	Vilabella	19.929	4.964
172142	Vilabertran	18.990	4.258
172155	Vilablareix	25.470	6.136
82994	Vilada	16.894	3.968
172174	Viladamat	18.584	4.371
172168	Viladasens	24.403	6.293
83015	Viladecans	22.165	5.208
83008	Viladecavalls	26.508	6.851
172180	Vilademuls	22.063	7.232
172207	Viladrau	21.573	5.911
172214	Vilafant	20.726	4.752
83054	Vilafranca del Penedès	22.244	5.668
252445	Vilagrassa	19.166	5.737
172235	Vilajuïga	20.949	5.253
431750	Vilalba dels Arcs	11.196	3.163
83067	Vilalba Sasserra	19.789	4.527
252458	Vilaller	18.085	4.066
172240	Vilallonga de Ter	17.343	4.327
431665	Vilallonga del Camp	21.659	4.901
172253	Vilamacolum	20.126	6.279
172266	Vilamalla	18.880	4.197
172272	Vilamaniscle	21.868	5.585
252477	Vilamòs	15.670	3.090
172288	Vilanant	22.989	5.863
431671	Vilanova d'Escornalbou	18.611	5.274
252483	Vilanova de Bellpuig	19.105	5.046
252496	Vilanova de l'Aguda	15.238	3.325
252542	Vilanova de la Barca	18.368	4.418
252509	Vilanova de Meià	15.793	4.094
431687	Vilanova de Prades	13.776	4.036
83036	Vilanova de Sau	19.239	4.649
252516	Vilanova de Segrià	18.394	4.407
83020	Vilanova del Camí	17.651	3.547
89024	Vilanova del Vallès	26.490	7.384
83073	Vilanova i la Geltrú	23.608	5.965
431690	Vilaplana	21.218	5.517
431704	Vila-rodona	18.758	5.065
172305	Vila-sacra	21.775	5.271
252521	Vila-sana	20.778	5.434
431711	Vila-seca	19.651	4.674
82140	Vilassar de Dalt	29.306	9.035
82191	Vilassar de Mar	28.874	8.486
172229	Vilaür	26.913	7.033
431726	Vilaverd	18.106	3.996
431732	Vilella Alta, la	12.129	3.637
431747	Vilella Baixa, la	14.699	4.464
172333	Vilobí d'Onyar	21.779	5.035
83041	Vilobí del Penedès	22.140	5.694
172327	Vilopriu	22.416	7.434
252537	Vilosell, el	14.757	4.808
431763	Vimbodí i Poblet	18.560	4.435
252555	Vinaixa	12.950	2.950
431779	Vinebre	20.230	6.227
431785	Vinyols i els Arcs	24.123	6.426
83089	Viver i Serrateix	30.399	12.995
430521	Xerta	17.113	4.050
