Codi	Municipi	BIG	QRA
170405	Canet d'Adri	23.745	6.152
80403	Canet de Mar	21.880	5.588
439076	Canonja, la	19.700	4.422
80410	Canovelles	19.900	4.871
80425	Cànoves i Samalús	23.543	6.533
170412	Cantallops	19.757	5.875
80431	Canyelles	22.262	5.169
430398	Capafonts	19.319	4.452
430402	Capçanes	18.016	4.703
80446	Capellades	21.519	5.117
170427	Capmany	20.116	5.687
80459	Capolat	22.736	4.422
80462	Cardedeu	25.291	6.512
80478	Cardona	20.673	4.790
80484	Carme	21.898	4.960
430419	Caseres	12.104	3.840
170448	Cassà de la Selva	21.304	5.465
80497	Casserres	17.877	4.377
80575	Castell de l'Areny	18.380	4.678
259046	Castell de Mur	15.593	3.997
250642	Castellar de la Ribera	17.576	3.748
80522	Castellar de n'Hug	19.606	5.875
80500	Castellar del Riu	18.593	4.024
80517	Castellar del Vallès	24.340	6.203
80538	Castellbell i el Vilar	19.763	4.426
80543	Castellbisbal	24.116	5.782
80556	Castellcir	23.752	6.804
250674	Castelldans	14.217	3.761
80569	Castelldefels	36.721	13.065
80581	Castellet i la Gornal	20.374	4.839
170464	Castellfollit de la Roca	19.259	4.171
80608	Castellfollit de Riubregós	20.113	5.337
80594	Castellfollit del Boix	19.485	5.076
80615	Castellgalí	22.098	5.043
80620	Castellnou de Bages	24.360	6.966
250680	Castellnou de Seana	17.376	4.786
170470	Castelló d'Empúries	19.528	5.400
250693	Castelló de Farfanya	16.639	4.244
80636	Castellolí	25.564	6.306
170486	Castell-Platja d'Aro	21.910	6.512
250707	Castellserà	16.564	4.251
80641	Castellterçol	21.245	5.248
430424	Castellvell del Camp	28.548	8.985
80654	Castellví de la Marca	21.034	5.159
80667	Castellví de Rosanes	27.579	7.370
430430	Catllar, el	25.372	6.554
250714	Cava	11.676	..
171899	Cellera de Ter, la	20.473	4.221
170499	Celrà	22.919	5.148
80673	Centelles	20.756	4.807
82687	Cercs	19.107	4.414
82665	Cerdanyola del Vallès	26.032	7.024
80689	Cervelló	25.448	6.449
250729	Cervera	22.503	6.533
250735	Cervià de les Garrigues	11.899	2.982
170502	Cervià de Ter	25.322	9.716
170519	Cistella	21.386	6.580
250740	Ciutadilla	14.141	3.871
250753	Clariana de Cardener	14.828	3.889
250766	Cogul, el	9.634	2.101
170545	Colera	22.079	5.605
250772	Coll de Nargó	16.668	4.648
80692	Collbató	29.360	8.030
430458	Colldejou	16.064	3.262
80706	Collsuspina	23.170	6.303
170558	Colomers	25.287	7.313
251636	Coma i la Pedra, la	16.921	4.302
251615	Conca de Dalt	16.932	4.822
430461	Conesa	15.802	5.238
430477	Constantí	18.732	4.202
80713	Copons	21.894	5.795
430483	Corbera d'Ebre	15.373	3.904
80728	Corbera de Llobregat	27.224	7.601
250788	Corbins	19.059	5.398
170577	Corçà	21.523	6.014
80734	Cornellà de Llobregat	20.889	4.830
170561	Cornellà del Terri	22.439	5.934
430496	Cornudella de Montsant	19.047	6.544
430509	Creixell	19.403	5.213
170583	Crespià	18.425	5.139
179011	Cruïlles, Monells i Sant Sadurní de l'Heura	21.480	5.900
80749	Cubelles	23.794	5.883
250791	Cubells	14.822	3.576
430516	Cunit	19.586	4.888
170600	Darnius	17.585	3.811
170617	Das	20.201	7.472
439018	Deltebre	15.280	4.017
80752	Dosrius	22.706	5.556
430537	Duesaigües	15.003	3.318
170622	Escala, l'	19.447	6.694
80765	Esparreguera	22.622	5.161
170638	Espinelves	22.207	8.973
250812	Espluga Calba, l'	12.360	3.644
430542	Espluga de Francolí, l'	18.285	4.262
80771	Esplugues de Llobregat	27.598	8.323
170643	Espolla	19.916	4.968
170656	Esponellà	20.169	5.500
250827	Espot	19.538	4.656
80787	Espunyola, l'	18.133	5.010
82541	Esquirol, l'	21.973	5.330
250886	Estamariu	15.451	3.506
80790	Estany, l'	19.770	5.279
250851	Estaràs	16.423	4.610
250864	Esterri d'Àneu	21.122	5.511
250870	Esterri de Cardós	14.685	3.773
430555	Falset	20.217	5.111
170059	Far d'Empordà, el	22.267	5.280
250899	Farrera	12.192	2.187
430568	Fatarella, la	14.704	4.385
430574	Febró, la	21.191	..
81347	Figaró-Montmany	21.781	4.964
80804	Fígols	21.189	..
259084	Fígols i Alinyà	14.559	3.542
430580	Figuera, la	14.527	3.347
170669	Figueres	19.659	5.032
430593	Figuerola del Camp	20.334	6.881
170675	Flaçà	21.891	5.369
430607	Flix	26.599	7.100
250925	Floresta, la	19.537	4.812
80826	Fogars de la Selva	19.389	4.635
80811	Fogars de Montclús	19.270	7.160
170681	Foixà	20.202	5.188
80832	Folgueroles	25.248	6.458
250931	Fondarella	22.560	6.770
80847	Fonollosa	22.268	5.201
170694	Fontanals de Cerdanya	25.562	9.470
